id,genres,popularity
640146,"['Action', 'Aventure', 'Science-Fiction']",9272.643
502356,"['Animation', 'Aventure', 'Familial', 'Fantastique', 'Comédie']",7212.464
594767,"['Action', 'Comédie', 'Fantastique']",4319.273
76600,"['Science-Fiction', 'Aventure', 'Action']",3471.132
948713,"['Action', 'Aventure', 'Histoire', 'Drame', 'Guerre']",3162.414
677179,"['Drame', 'Action']",2865.256
713704,"['Horreur', 'Thriller']",1898.367
638974,"['Comédie', 'Mystère', 'Action']",1855.858
315162,"['Animation', 'Familial', 'Fantastique', 'Aventure', 'Comédie', 'Drame']",1407.152
603692,"['Action', 'Thriller', 'Crime']",1312.743
946310,"['Familial', 'Action', 'Aventure']",1145.777
804150,"['Thriller', 'Comédie', 'Crime']",1223.954
700391,"['Science-Fiction', 'Aventure', 'Thriller', 'Action']",1189.997
1104040,['Crime'],1133.317
758323,"['Horreur', 'Thriller']",1103.242
1008005,['Horreur'],1191.393
849869,"['Action', 'Crime', 'Thriller']",956.601
842945,['Action'],962.106
1033219,"['Action', 'Science-Fiction']",875.796
736790,"['Aventure', 'Fantastique', 'Familial']",866.916
